code,LinuxKeyCode,WindowsKeyCode
Unidentified,TODO,TODO
Backspace,22,TODO
Tab,23,TODO
Enter,36,TODO
ShiftLeft,50,TODO
ShiftRight,62,TODO
ControlLeft,37,TODO
ControlRight,105,TODO
AltLeft,64,TODO
Pause,TODO,TODO
CapsLock,TODO,TODO
Lang1,TODO,TODO
Lang2,TODO,TODO
Escape,TODO,TODO
Space,TODO,TODO
ArrowLeft,113,TODO
ArrowUp,111,TODO
ArrowRight,114,TODO
ArrowDown,116,TODO
Digit0,TODO,TODO
Digit1,TODO,TODO
Digit2,TODO,TODO
Digit3,TODO,TODO
Digit4,TODO,TODO
Digit5,TODO,TODO
Digit6,TODO,TODO
Digit7,TODO,TODO
Digit8,TODO,TODO
Digit9,TODO,TODO
KeyA,TODO,TODO
KeyB,TODO,TODO
KeyC,54,TODO
KeyD,TODO,TODO
KeyE,TODO,TODO
KeyF,TODO,TODO
KeyG,TODO,TODO
KeyH,TODO,TODO
KeyI,TODO,TODO
KeyJ,TODO,TODO
KeyK,TODO,TODO
KeyL,TODO,TODO
KeyM,TODO,TODO
KeyN,TODO,TODO
KeyO,TODO,TODO
KeyP,TODO,TODO
KeyQ,TODO,TODO
KeyR,TODO,TODO
KeyS,TODO,TODO
KeyT,TODO,TODO
KeyU,TODO,TODO
KeyV,TODO,TODO
KeyW,TODO,TODO
KeyX,53,TODO
KeyY,TODO,TODO
KeyZ,TODO,TODO
MetaLeft,TODO,TODO
MetaRight,TODO,TODO
ContextMenu,TODO,TODO
Numpad0,TODO,TODO
Numpad1,TODO,TODO
Numpad2,TODO,TODO
Numpad3,TODO,TODO
Numpad4,TODO,TODO
Numpad5,TODO,TODO
Numpad6,TODO,TODO
Numpad7,TODO,TODO
Numpad8,TODO,TODO
Numpad9,TODO,TODO
NumpadMultiply,TODO,TODO
NumpadAdd,TODO,TODO
NumpadSubtract,TODO,TODO
NumpadDecimal,TODO,TODO
NumpadDivide,TODO,TODO
F1,TODO,TODO
F2,TODO,TODO
F3,TODO,TODO
F4,TODO,TODO
F5,TODO,TODO
F6,TODO,TODO
F7,TODO,TODO
F8,TODO,TODO
F9,TODO,TODO
F10,TODO,TODO
F11,TODO,TODO
F12,TODO,TODO
F13,TODO,TODO
F14,TODO,TODO
F15,TODO,TODO
F16,TODO,TODO
F17,TODO,TODO
F18,TODO,TODO
F19,TODO,TODO
F20,TODO,TODO
F21,TODO,TODO
F22,TODO,TODO
F23,TODO,TODO
F24,TODO,TODO
F25,TODO,TODO
F26,TODO,TODO
F27,TODO,TODO
F28,TODO,TODO
F29,TODO,TODO
F30,TODO,TODO
F31,TODO,TODO
F32,TODO,TODO
NumLock,TODO,TODO
ScrollLock,TODO,TODO
MediaTrackNext,TODO,TODO
MediaTrackPrevious,TODO,TODO
VolumeMute,TODO,TODO
VolumeDown,TODO,TODO
VolumeUp,TODO,TODO
Semicolon,TODO,TODO
Equal,TODO,TODO
Comma,TODO,TODO
Minus,TODO,TODO
Period,TODO,TODO
Slash,TODO,TODO
IntlRo,TODO,TODO
NumpadComma,TODO,TODO
BracketLeft,TODO,TODO
Backslash,TODO,TODO
BracketRight,TODO,TODO
Quote,TODO,TODO
OSLeft,TODO,TODO
AltRight,TODO,TODO
IntlBackslash,TODO,TODO
Backquote,TODO,TODO
WakeUp,TODO,TODO
