code,LinuxKeyCode,WindowsKeyCode
Unidentified,-,-
Backspace,22,TODO
Tab,23,TODO
Enter,36,TODO
ShiftLeft,50,TODO
ShiftRight,62,TODO
ControlLeft,37,TODO
ControlRight,105,TODO
AltLeft,64,TODO
Pause,TODO,TODO
CapsLock,TODO,TODO
Lang1,TODO,TODO
Lang2,TODO,TODO
Escape,TODO,TODO
Space,TODO,32
ArrowLeft,113,37
ArrowUp,111,38
ArrowRight,114,39
ArrowDown,116,40
Digit0,19,48
Digit1,10,49
Digit2,11,50
Digit3,12,51
Digit4,13,52
Digit5,14,53
Digit6,15,54
Digit7,16,55
Digit8,17,56
Digit9,18,57
KeyA,38,65
KeyB,56,66
KeyC,54,67
KeyD,40,68
KeyE,26,69
KeyF,41,70
KeyG,42,71
KeyH,43,72
KeyI,31,73
KeyJ,44,74
KeyK,45,75
KeyL,46,76
KeyM,58,77
KeyN,57,78
KeyO,32,79
KeyP,33,80
KeyQ,24,81
KeyR,27,82
KeyS,39,83
KeyT,28,84
KeyU,30,85
KeyV,55,86
KeyW,25,87
KeyX,53,88
KeyY,29,89
KeyZ,52,90
MetaLeft,TODO,TODO
MetaRight,TODO,TODO
ContextMenu,TODO,TODO
Numpad0,TODO,TODO
Numpad1,TODO,TODO
Numpad2,TODO,TODO
Numpad3,TODO,TODO
Numpad4,TODO,TODO
Numpad5,TODO,TODO
Numpad6,TODO,TODO
Numpad7,TODO,TODO
Numpad8,TODO,TODO
Numpad9,TODO,TODO
NumpadMultiply,TODO,TODO
NumpadAdd,TODO,TODO
NumpadSubtract,TODO,TODO
NumpadDecimal,TODO,TODO
NumpadDivide,TODO,TODO
F1,TODO,TODO
F2,TODO,TODO
F3,TODO,TODO
F4,TODO,TODO
F5,TODO,TODO
F6,TODO,TODO
F7,TODO,TODO
F8,TODO,TODO
F9,TODO,TODO
F10,TODO,TODO
F11,TODO,TODO
F12,TODO,TODO
F13,TODO,TODO
F14,TODO,TODO
F15,TODO,TODO
F16,TODO,TODO
F17,TODO,TODO
F18,TODO,TODO
F19,TODO,TODO
F20,TODO,TODO
F21,TODO,TODO
F22,TODO,TODO
F23,TODO,TODO
F24,TODO,TODO
F25,TODO,TODO
F26,TODO,TODO
F27,TODO,TODO
F28,TODO,TODO
F29,TODO,TODO
F30,TODO,TODO
F31,TODO,TODO
F32,TODO,TODO
NumLock,TODO,TODO
ScrollLock,TODO,TODO
MediaTrackNext,TODO,TODO
MediaTrackPrevious,TODO,TODO
VolumeMute,TODO,TODO
VolumeDown,TODO,TODO
VolumeUp,TODO,TODO
Semicolon,TODO,TODO
Equal,TODO,TODO
Comma,TODO,TODO
Minus,TODO,TODO
Period,TODO,TODO
Slash,TODO,TODO
IntlRo,TODO,TODO
NumpadComma,TODO,TODO
BracketLeft,TODO,TODO
Backslash,TODO,TODO
BracketRight,TODO,TODO
Quote,TODO,TODO
OSLeft,TODO,TODO
AltRight,TODO,TODO
IntlBackslash,TODO,TODO
Backquote,TODO,TODO
WakeUp,TODO,TODO
